id,sentence,labels
914,a Not inclusive of TRAC 1 1 2 which is allocated regionally for subsequent country application Abbreviations AOS administrative and operational services GEF Global Environment Facility SIDA Swedish International Development Agency SPPD support for policy and programme development STS support for technical services TRAC target for resource assignment from the core,O O O O B-short O O O O O O O O O O O O B-short B-long I-long I-long I-long B-short B-long I-long I-long B-short B-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long I-long
915,Let us not repeat the failures of the past but rather capitalize on the goodwill of the present by turning it into action for the future Mr Mizukami Japan The United Nations New Agenda for the Development of Africa in the 1990s UN-NADAF will come to a formal conclusion during the current session of the General Assembly,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long O O O B-short O O O O O O O O O O O O O O
916,European Enhanced Vehicle-safety Committee EEVC 17 The WorldSID 50th percentile male dummy was extensively tested by European Enhanced Vehicle-safety Committee EEVC Working Group 12 WG12,B-long I-long I-long I-long B-short O O O O O O O O O O O B-long I-long I-long I-long B-short B-long I-long I-long B-short
917,29 Ontario has established a political forum with the Nishnawbe Aski Nation NAN a provincial territorial organization representing 49 First Nations in Northern Ontario called the Northern Table,O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O O O
918,1 760 RM N2 Key PI Positive Ignition CI Compression Ignition 1 Positive ignition particulate mass standard shall apply only to vehicles with direct injection engines,O O B-short B-short B-long I-long B-short B-long I-long O O O O O O O O O O O O O O O
919,Carcases halve carcases and quarters without packaging Carcases halve carcases and quarters with packaging Cuts I.W. Individually Wrapped Cuts Bulk packaged plastic or wax lined container,O O O O O O O O O O O O O O O B-short B-long I-long O O O O O O O O
920,25 27 Some commentators requested enhancement of support service for young people with early psychosis At present HA has in place the E.A.S.Y. Early Assessment Service for Young People with Early Psychosis Programme for young people suffering from early psychosis,O O O O O O O O O O O O O O O O O B-short O O O O B-short B-long I-long I-long I-long I-long O O O O O O O O O O O O
921,The LWV attended the DPI briefings U.S. Committee for UNIFEM meetings and United States Mission briefings The LWV served on the Executive Board of the Council Of Organizations of the United Nations Association States of America UNA-USA The LWV also served on UNA-USA s National Council whose mission is promoting the United Nations in the United States,O B-short O O B-short O B-short O O B-short O O O O O O O B-short O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O O O O O B-short O O O O O O O O O O O O O O
922,Road safety road rules and regulations In the period covered by the present report representatives of FEMA have attended all but one of the meetings of ECE/ITC Working Party 1 WP.1,O O O O O O O O O O O O O O O O B-short O O O O O O O O O B-short B-long I-long I-long B-short
923,B LL Thesis on Child Labour Tribhuvan University Nepal Other main activities in the field relevant to the mandate of the body concerned President Children at Risk Networking Group CAR-NWG 1994 1997 Member of Child Development and Child Rights Task Force Ministry of Women and Social Welfare 1996,O B-short O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O
924,1 212 848 1175 Briefing on The evolving role of agriculture in poverty reduction An empirical perspective organized by the United Nations University Office in New York UNU-ONY Wednesday 2 June 2010 from 1 15 to 2 30 p.m. in Conference Room 8 General Assembly Building,O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O B-short O O O O O O O
925,For further information please contact Mr Anthony Simpson Permanent Mission of New Zealand e mail anthony simpson mfat govt nz Special event in observance of the International Day for the Elimination of Violence against Women on the theme A promise is a promise organized by the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women From 15 15 to 16 15 in Conference Room 6 NLB,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O B-short
926,1 212 292 8614 Panel discussion on The role of women in countering violent extremism organized by the Permanent Mission of the United Arab Emirates and the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women From 15 00 to 18 00 in the Economic and Social Council Chamber,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O
927,Measures providing for monitoring of the prices of certain imported staples through the price authorization and profit margin fixing system Measures establishing the cost factor and profit margins for pharmaceutical products Measures providing for control of the quality quantity prices and principal duty elements of imports by the Société Genérale de Surveillance S.G.S,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short
928,To that end we call upon the United Nations system to coordinate and synchronize activities related to the NEPAD plan of action while the international community plays its supportive role in ensuring the success of NEPAD and providing renewed impetus for the development of Africa Africa has learned a painful but useful lesson from the implementation of the United Nations New Agenda for the Development of Africa in the 1990s UN-NADAF,O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O B-long O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long O O O B-short
929,European Centre for Law and Justice ECLJ noted that MSAR and HKSAR allow the Falun Gong to practice freely International PEN I-PEN noted that dissident writers and journalists who are not in prison face serious restrictions on their movements and on their ability to speak and publish freely,B-long I-long I-long I-long I-long I-long B-short O O B-short O B-short O O O O O O O B-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O
930,For over 12 years Puntland was at the forefront of guarding the unity territorial integrity and sovereignty of Somalia while on the same time establishing peace and stability in Puntland itself In that period Puntland was able to establish political structures that managed three peaceful power transitions delivery of essential services and acting as a haven for hundreds of thousands of internally displaced people IDPs from the rest of Somalia as well as migrant workers from neighbouring countries,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O
931,REQUESTS the AU Commission in collaboration with Member States and other partners to prepare a comprehensive analytical report in 2009 on the implementation of the 2004 Ouagadougou Declaration and Plan of Action on Employment and Poverty Alleviation FURTHER REQUESTS that reflection should continue on the rethinking of the working methods of LSAC and that this issue should be raised during the first session of the AU Ministers in charge of Social Development Conference to be held in October 2008 ENDORSES all the proposed candidatures by LSAC for the International Labour Organization Governing Body ILO-GB as listed in the Report including the following i The candidature of Algeria for the Government Vice Chair for the 97th Session of the International Labour Commission ILC and,O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O B-short O O B-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O
932,Submissions by admitted observers will be made available on the UNFCCC web site Implications of the establishment of new hydrochlorofluorocarbon-22 HCFC-22 facilities seeking to obtain certified emissions reductions for the destruction of hydrofluorocarbon-23 HFC-23,O O O O O O O O O O B-short O O O O O O O O B-long B-short O O O O O O O O O O O B-long B-short
933,5 The Regional Environmental Center for Central and Eastern Europe REC-CEE the Regional Environmental Center for Central Asia CAREC the Regional Environmental Center for the Caucasus and the Regional Environmental Center for the Republic of Moldova were represented,O O B-long I-long I-long I-long I-long I-long I-long I-long B-short O B-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O
934,IELRC also prepared a background paper for these events Liability and Redress in Biotechnology Towards the Development of Rules at the National and International Levels 2004 Nairobi Kenya The IELRC Programme Director Africa supported the initiative by the United Nations Environment Programme and the Department of Early Warning and Assessment UNEP-DEWA on environment and conflict prevention in the Great Lakes Region through a mapping of the environment and conflict linkages in the region,B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O
935,"Therefore parents cannot ensure an adequate standard of living for their children if they themselves are impoverished With a poverty line of about USh 6,000 US$ 6 55 per cent of Ugandans can be defined as poor",O O O O O O O O O O O O O O O O O O O O O O O B-long I-long B-short O O O O O O O O O O
936,In addition to these legal texts there are many guidance and interpretative documents collectively referred to in the remainder of this paper as the guidance publications on PPPs They include the European Commission EC's Interpretative Communication on the application of Community law on Public Procurement and Concessions to Institutionalised Public Private Partnerships which seeks to address lack of legal certainty in relation to the involvement of private partners in such projects which the EC notes may undermine their success,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O B-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O
937,Participation in the Southern Asian Association for Regional Development (SAARC Decade of the Girl Child Participation in the SAARC Ministerial Conference on Children held in Islamabad in August 1996 and signing of the resolutions of the Conference Signing of the Master Plan of Operations MOP 1997 2001 established between the UNICEF representative in Bhutan and the Finance Ministry on 31 December 1996,O O O B-long I-long I-long I-long I-long I-long B-short O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short O O O O O B-short O O O O O O O O O O O
938,JS7 stated that access to health services for women and expectant mothers was limited Joint Submission 12 JS12 indicated maternal and child health services received the least funding within the health sector,B-short O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O O
939,The proposed country programme will also provide a means of advancing implementation of the 2010 Partnership Framework Agreement between UNDP and the Government of Brazil Additionally the programme will take advantage of the presence in Brazil of the UNDP International Policy Centre for Inclusive Growth IPC-IG jointly funded by Brazil and UNDP,O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O B-short B-long I-long I-long I-long I-long I-long B-short O O O O O B-short
940,EE Eastern European group LAC Latin American and the Caribbean group WEO Western European and other States group Explanatory notes,B-short B-long I-long I-long B-short B-long I-long I-long I-long I-long I-long B-short B-long I-long O O O O O O
941,up to 32 km/h ES-2re 50th percentile male ES-2 dummy with rib extensions ES-2re,O O O B-short B-short O O O B-long I-long I-long I-long I-long B-short
942,Human exposure Risk evaluation Food In the European Union Risk Assessment Report EU-RAR exposures to humans via environmental routes have been estimated using EUSES and showed no increase for octaBDE from 1994 to 1999,O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O O O O O O B-short O O O O O B-short O O O O
943,Kindly take note that all elections for the Committee on Economic Social and Cultural Rights are organized by the secretariat of the Economic and Social Council not by OHCHR All queries related to these elections should be addressed to Ms Celia Syyap Economic and Social Affairs Branch Department for General Assembly and Conference Management DGACM e mail syyap un org tel 1 212 963 0906,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O
944,The Agreement has made it easier to secure grants and loans to upgrade the Asian highway routes The upgrading and development of the Asian highway network has been recognized as a priority in national highway planning and incorporated into national plans in many States members of the Economic and Social Commission for Asia and the Pacific ESCAP including landlocked developing countries such as Bhutan Kyrgyzstan the Lao People s Democratic Republic Mongolia Nepal and Uzbekistan,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O
945,Ozone O3 concentrations monitored with passive samplers in remote forest areas of south west Europe were high in the southern most areas and at high altitudes Critical levels of 5 000 and 10 000 parts per billion times hours ppb h for accumulated O3 concentrations over the threshold of 40 ppb AOT40 were exceeded at 95 and 69 of 100 sites respectively averaged over the period 2000 2002,B-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long B-short O B-long I-long I-long I-long I-long I-long I-long I-long O B-short O O O O O O O O O O O O O O O O
946,The Ministry of Foreign Affairs together with the National Council for Children and Adolescents and the Bilateral Dominican Haitian Commission has organized various conferences visits meetings workshops and bilateral coordination projects between the two countries so as to define a tool to care and provide protection for the children and adolescents who were affected by this terrible disaster This has resulted in the preparation by CONANI in coordination with the United Nations agencies UNICEF the Office of the United Nations High Commissioner for Refugees UNHCR International Organization for Migration IOM and NGOs of a Protection Protocol for Haitian children and adolescents who were affected by the situation described above,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O B-short O O O O B-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long B-short O B-short O O O O O O O O O O O O O O O O O
947,Its work is guided by an annual Consortium meeting and a Steering Committee of representatives of developing and transition countries donors and international organizations The Consortium is co chaired by a member of the Bureau of the Statistical Commission and the Chair of the OECD Development Assistance Committee DAC 5 10,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short B-long I-long I-long B-short O O
948,In order to reduce prison overcrowding Italy had adopted several measures and had in particular extended recourse to house arrest as an alternative to imprisonment Following the ratification in 2012 of the Optional Protocol to the Convention against Torture OP-CAT recent legislation had provided for the establishment by the Ministry of Justice of a national authority for the rights of detainees,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O
949,To continue assistance in the implementation of the UNESCO OECD Eurostat questionnaire definitions and methodology to developing and transition economies Database on investments in training will be established ILO Implementation of LFS modules on lifelong learning 2003 EU,O O O O O O O O B-short B-short O O O O O O O O O O O O O O O O O O B-short O O B-short O O O O O B-short
950,Turning to Mr Ewomsan s concern about the persistence of racial discrimination she said that while substantial progress had been made the EEOC believed that racial discrimination still occurred too often in the area of employment Accordingly it had undertaken its Eradicating Racism and Colorism from Employment E-RACE initiative to increase public awareness of the problem and educate employers and employees about their responsibilities and rights,O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O
951,Executive Board Informal meeting The Executive Board of the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women will hold an orientation session today 13 January 2011 from 10 a.m. to 12 noon in Conference Room A NLB,O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O B-short O O O O O O O B-short
952,Where market data was not available PAAC used a statistical analysis to extrapolate results from the available data For vehicles for which there was no Kuwait based market data PAAC s approach was to derive the value with an appropriate adjustment from the National Association of Automobile Dealers NADA Used Car Values Manual which is a standard reference for used car prices in the United States,O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O
953,Refugee children 71 While welcoming the improved collaboration between the State party and the Office of the United Nations High Commissioner for Refugees UNHCR the Committee is concerned at the gaps in the legal protection of refugees in the State party,O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O
954,c A flag having above or below it a ball or anything resembling a ball d Rockets or shells throwing red stars fired one at a time at short intervals e A luminous signal consisting of the group S0S in Morse Code f Flames such as may be produced by burning tar oil etc,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long O O O B-short O O O O O O O O O O O O O O O
955,United Nations Entity for Gender Equality and the Empowerment of Women UN-Women A pre session informal meeting in advance of the second regular session of the Executive Board of United Nations Entity for Gender Equality and the Empowerment of Women UN-Women will take place on Thursday 28 August 2014,O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O
956,Independent Chinese Pen Centre reported that it had witnessed a campaign to jail or silence prominent dissident voices with Article19 specifically alleging a crackdown against artistic dissent Pen International PEN-I recommended that China respect and protect the right of writers and publishers in China to publish without fear of reprisals or government interference and foster the creation of domestic and internationally treasured literature and the growth of a world class publishing industry,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
957,"PROGRAMME ACTIVITY 02 8 TRANSPORT HEALTH AND ENVIRONMENT 4 Transport Health and Environment Pan European Programme THE PEP Priority 1 Description The Transport, Health and Environment Pan-European Programme THE PEP was established in 2002 under the joint auspices of UNECE Environment and Transport Divisions and World Health Organization WHO EUROPE The objectives of THE PEP are to promote policy integration and sustainable transport development through the sharing of best practice capacity building and awareness raising",O O O O O O O O O O O O O O O O B-short O O O O B-long I-long I-long I-long I-long I-long B-short O O O O O O O O O B-short O O O O O B-long I-long I-long B-short B-short O O O B-short O O O O O O O O O O O O O O O O O O O O
958,289 In a groundbreaking initiative the Supreme Council for Communications and Information Technology ictQatar and Qatar Telecom QTel announced that they had agreed to launch in April 2010 a pilot project entitled Women working from home,O O O O O O O O O O O O O B-short O B-long I-long B-short O O O O O O O O O O O O O O O O O O
959,There is need for further capacity development of government counterparts and United Nations staff and the approach would also benefit from wider participation of agencies in the UNCTs UNICEF has been a significant contributor to the work of the UNDG Working Group on RC System Issues WG-RCSI and its sub group the Talent Management Taskforce,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short B-short O O O O O O O O O O B-short B-long I-long I-long I-long I-long I-long B-short O O O O O O O O
960,43 Rapid Family Tracing and Reunification RapidFTR a system built by New York University students to support real time registration of children using a smart phone or laptop received funding from the Humanitarian Innovation Fund of the United Kingdom and the Vodaphone Foundation,O B-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
961,In continuing to fulfil its functions of disseminating the results of its research projects conferences seminars and meetings the Organization publishes books monographs documentation of conference proceedings and the EROPA Journal Linkages Professor Mila A Reforma attended the United Nations seminar on Government Private Sector Partnerships in Delivery of Municipal Services in New Delhi India 711 February 1994 organized by the United Nations Urban Management Programme UN-UMP for Asia and the Pacific,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O
962,The adoption of the resolution gives rise to the following additional requirements a Existing staff to continue to support the Working Group according to Council resolution 15 23 including four posts 1 P 4 1 P 3 1 P 2 1 and 1 General Service Other level to provide all necessary assistance to the Working Group b Travel of i the members of the Working Group to attend its sessions twice a year in Geneva and once a year in New York for five days each ii the Chair Rapporteur to Geneva twice a year for five days each to present the thematic and country visit reports to the Council and to attend the annual meeting of the special procedures and twice to New York for three days each to present reports to the Commission on the Status of Women and the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women and to hold consultations with other relevant stakeholders including United Nations entities iii three members of the Working Group on two country visits each year c Travel of staff i two staff members to accompany members of the Working Group during country visits 2 missions per year of an average of 10 days each ii three staff members to organize and attend the session of the Working Group in New York iii one staff member two times a year for three days each to accompany the Working Group Chair to New York for consultations with the Commission on the Status of Women and UN-Women,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short
963,FCHVs have managed more than one million cases of pneumonia in children each year FCHVs are integral to the success of Nepal s Community Based Integrated Management of Childhood Illness CB-IMCI program,B-short O O O O O O O O O O O O O B-short O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O
964,3 We reaffirm our commitment and shared purpose as declared in our first Ministerial Statement in September 2010 which is to take forward the consensus outcome of the 2010 Review Conference RevCon of the Parties to the NPT and to jointly advance the nuclear disarmament and non proliferation agendas as mutually reinforcing processes,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long B-short O O O O O B-short O O O O O O O O O O O O O O O
965,Adaptation planning and implementation this session covered five areas of vulnerability of importance to the Asia region agriculture and food security water resources coastal zones health and mountainous regions These were followed by a round table on multilateral support for adaptation in the context of sustainable development which was held in two parts the first included contributions from representatives of the implementing agencies of the Global Environment Facility GEF and the second included contributions from representatives of other development agencies Regional collaboration this session included two round tables one on South South collaboration and the second on North South collaboration,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
966,Turkey praised Lithuania for its efforts in improving the national human rights situation in particular regarding gender equality welfare of children and disabled persons minority rights fight against human trafficking and the improvement of prison conditions It noted the absence of an International Coordinating Committee ICC accredited national human rights institution although several institutions assumed a similar role,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O
967,United Nations Children's Fund 73 During the reporting period UN-Habitat worked with UNICEF and the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women on a joint programme entitled Safe and friendly cities for all to support urban safety in public spaces in Dushanbe Metro Manila Greater Beirut Marrakesh Morocco Nairobi Rio de Janeiro Brazil San Jos and Tegucigalpa,B-long I-long I-long I-long O O O O O B-short O O B-short O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
968,"Figure 1 Abbreviations EIT economies in transition LULUCF land use, land-use change and forestry",O O O B-short B-long I-long I-long B-short B-long I-long I-long I-long I-long I-long
969,32 The Group deemed it necessary to sensitize personnel of the UNOCI Air Operations Section AirOps and the Togolese battalion of UNOCI posted at the Abidjan Air Force Base to exercise vigilance on the activities there and to bring to its notice any activity that might have a bearing on this issue,O O O O O O O O O O O B-short B-long I-long I-long B-short O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
970,c Draft revised annex III At its forty ninth session the Working Group on Strategies and Review welcomed a proposal by the Russian Federation to modify the pollutant emission management area PEMA identified in annex III so that the obligations in a revised Protocol would refer to all of the European territory of the Russian Federation ECE/EB AIR/WG 5 106 para 25 b,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O B-short B-short O O O O O
971,amend to read CNG filter s 2 PRD pressure triggered 2 Annex 2B Addendum,O O O B-short O O O B-short B-long I-long O O O O
972,b Implementation of the outcome of the Fourth World Conference on Women and of the twenty third special session of the General Assembly A 68 175 Introductory statements followed by question time Under Secretary General and Executive Director United Nations Entity for Gender Equality and the Empowerment of Women UN-Women Chair Committee on the Elimination of Discrimination against Women CEDAW,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O B-long I-long I-long I-long I-long I-long I-long I-long B-short
973,It was suggested to agree at the session on clear recommendations for further advancement of inter governmental negotiations on the reform package including the format and time frame for this process As an option the existing Group of Experts on the Programme of Work GEPW could be authorized to undertake a preliminary expert level examination of proposals and its conclusions and recommendations could be subsequently considered at an ad hoc informal meeting of the Commission,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
974,Other matters First regular session The 2011 first regular session of the Executive Board of the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women will take place from Monday 24 to Wednesday 26 January 2011 in Conference Room 1 NLB,O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O B-short
975,Field projects institutional strengthening of the Arab Maghreb Union observatory of regional integration in North Africa addressing sustainable development challenges in North Africa harmonization of policies to build a North Africa knowledge economy The activities under this subprogramme which have been formulated by drawing upon Component 2 of subprogramme 7 of programme 14 of the biennial programme plan for the period 2008 2009 are under the responsibility of the ECA Subregional Office for West African SRO-WA,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short B-long I-long I-long I-long I-long B-short
976,Green building organizations have recently been established in several countries outside the US as well In 1999 the World Green Building Council WorldGBC held its founding meeting with the US Australia Spain Canada Japan India and Mexico participating,O O O O O O O O O O O O B-short O O O O O B-long I-long I-long I-long B-short O O O O O O B-short O O O O O O O O
977,1 212 963 9460 Launch of the United Nations Development Group Human Rights Mainstreaming Mechanism UNDG-HRM and the Multi Donor Trust Fund co chaired by the Chair of UNDG and the High Commissioner for Human Rights organized by the Office of the High Commissioner for Human Rights Thursday 27 October 2011 from 6 15 to 7 p.m. in Conference Room 4 NLB,O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O B-short
978,1 The present report should be read in conjunction with the report of the Under Secretary General Executive Director of the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women on the progress made on the strategic plan 2011 2013 UNW 2012 4 which details results achieved in line with the strategic plan examples at the country level and progress against targets,O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O
979,1 GRSP agreed to set up an informal working group on pedestrian safety Phase 2 in order to further develop proposals to amend UN GTR No. 9 on introducing the Flexible Pedestrian Legform Impactor Flex-PLI ECE/TRANS/WP 29 AC. 3 24 ECE/TRANS/WP 29 1079 para. 101,O B-short O O O O O O O O O O O O O O O O O O O O O B-short B-short O O O O B-long I-long I-long I-long B-short B-short O B-short O O B-short O O B-short O
980,The s essions of the Administrative Committee WP.29/AC.2 and of the World Forum WP.29 begin at 10 00 a.m. on the indicated date During the WP.29 sessions the Administrative Committee of the 1958 Agreement AC.1 will hold its sessions usually on Wednesdays sessions of the Executive Committee of the 1998 Agreement AC.3 are expected to be held on Wednesday afternoon if possible and on Thursday morning and sessions of the Administrative Committee of 1997 Agreement AC.4 will be held on Thursday following AC.3 sessions if scheduled,O O B-long I-long I-long I-long I-long B-short O O O O O B-short O O O O B-short O O O O O O B-short O O B-long I-long I-long I-long I-long O B-short O O O O O O O O O O B-long I-long I-long I-long I-long O B-short O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long O B-short O O O O O O B-short O O O
981,Lebanon asserts that upon the return of its diplomats to Kuwait in the spring of 1991 it discovered that its Embassy premises had suffered damage and had been looted The Claimant seeks 10 000 Kuwaiti dinar KD for the cost of repairing the Embassy and installing alarm and air conditioning systems,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long B-short O O O O O O O O O O O O O O
982,Notes PI Positive Ignition CI Compression Ignition 5 4,O B-short B-long I-long B-short B-long I-long O O
983,For further information please contact Mr Nenad Vasi OHCHR New York e mail vasic un org Open Meeting of the Group of Friends of the Alliance of Civilizations organized by the United Nations Alliance of Civilizations UNAOC Friday 14 February 2014 from 10 00 to 13 00 in the Trusteeship Council Chamber,O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O
984,For the purpose of this Regulation 2 Approval of an engine means the approval of an engine type or family with regard to the level of emission of gaseous and particulate pollutants by the engine 2 Compression ignition C.I. engine means an engine which works on the compressionignition principle e g diesel engine 2 Engine type means a category of engines which do not differ in such essential engine characteristics as defined in paragraphs 1 to 4 of Annex 1A to this Regulation 2,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
985,At its inception in 2007 a budget allocation of Kshs 1 0 billion was made to the Fund The Money from the Fund is disbursed through two distribution channels namely selected financial intermediaries and Constituency Women Enterprise Scheme C-WES,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short
